"National
Dex","Pokemon
Name",Type,Type I,Type II,Gen,Pag,Posición
782,Jangmo-o,Pseudo Legendary,Dragon,,Gen 7,27,4
783,Hakamo-o,Pseudo Legendary,Dragon,Fighting,Gen 7,27,5
784,Kommo-o,Pseudo Legendary,Dragon,Fighting,Gen 7,27,6
785,Tapu Koko,Sub-Legendary,Electric,Fairy,Gen 7,27,7
786,Tapu Lele,Sub-Legendary,Psychic,Fairy,Gen 7,27,8
787,Tapu Bulu,Sub-Legendary,Grass,Fairy,Gen 7,27,9
788,Tapu Fini,Sub-Legendary,Water,Fairy,Gen 7,28,1
789,Cosmog,Legendary,Psychic,,Gen 7,28,2
790,Cosmoem,Legendary,Psychic,,Gen 7,28,3
791,Solgaleo,Legendary,Psychic,Steel,Gen 7,28,4
792,Lunala,Legendary,Psychic,Ghost,Gen 7,28,5
793,Nihilego,Ultra Beast,Rock,Poison,Gen 7,28,6
794,Buzzwole,Ultra Beast,Bug,Fighting,Gen 7,28,7
795,Pheromosa,Ultra Beast,Bug,Fighting,Gen 7,28,8
796,Xurkitree,Ultra Beast,Electric,,Gen 7,28,9
797,Celesteela,Ultra Beast,Steel,Flying,Gen 7,29,1
798,Kartana,Ultra Beast,Grass,Steel,Gen 7,29,2
799,Guzzlord,Ultra Beast,Dark,Dragon,Gen 7,29,3
800,Necrozma,Legendary,Psychic,,Gen 7,29,4
"800,1",Necrozma (Dusk Mane),Legendary,Psychic,Steel,Gen 7,29,5
"800,2",Necrozma (Dawn Wings),Legendary,Psychic,Ghost,Gen 7,29,6
"800,3",Necrozma (Ultra),"Legendary, Mega Evolution",Psychic,Dragon,Gen 7,29,7
801,Magearna,Mythical,Steel,Fairy,Gen 7,29,8
"801,1",Magearna (Original Color),Mythical,Steel,Fairy,Gen 7,29,9
802,Marshadow,Mythical,Fighting,Ghost,Gen 7,30,1
803,Poipole,Ultra Beast,Poison,,Gen 7,30,2
804,Naganadel,Ultra Beast,Poison,Dragon,Gen 7,30,3
805,Stakataka,Ultra Beast,Rock,Steel,Gen 7,30,4
806,Blacephalon,Ultra Beast,Fire,Ghost,Gen 7,30,5
807,Zeraora,Mythical,Electric,,Gen 7,30,6
808,Meltan,Mythical,Steel,,Gen 7,30,7
809,Melmetal,Mythical,Steel,,Gen 7,30,8
810,Grookey,Starter,Grass,,Gen 8,30,9
811,Thwackey,Starter,Grass,,Gen 8,31,1
812,Rillaboom,Starter,Grass,,Gen 8,31,2
813,Scorbunny,Starter,Fire,,Gen 8,31,3
814,Raboot,Starter,Fire,,Gen 8,31,4
815,Cinderace,Starter,Fire,,Gen 8,31,5
816,Sobble,Starter,Water,,Gen 8,31,6
817,Drizzile,Starter,Water,,Gen 8,31,7
818,Inteleon,Starter,Water,,Gen 8,31,8
819,Skwovet,,Normal,,Gen 8,31,9
820,Greedent,,Normal,,Gen 8,32,1
821,Rookidee,,Flying,,Gen 8,32,2
822,Corvisquire,,Flying,,Gen 8,32,3
823,Corviknight,,Flying,Steel,Gen 8,32,4
824,Blipbug,,Bug,,Gen 8,32,5
825,Dottler,,Bug,Psychic,Gen 8,32,6
826,Orbeetle,,Bug,Psychic,Gen 8,32,7
827,Nickit,,Dark,,Gen 8,32,8
828,Thievul,,Dark,,Gen 8,32,9
829,Gossifleur,,Grass,,Gen 8,33,1
830,Eldegoss,,Grass,,Gen 8,33,2
831,Wooloo,,Normal,,Gen 8,33,3
832,Dubwool,,Normal,,Gen 8,33,4
833,Chewtle,,Water,,Gen 8,33,5
834,Drednaw,,Water,Rock,Gen 8,33,6
835,Yamper,,Electric,,Gen 8,33,7
836,Boltund,,Electric,,Gen 8,33,8
837,Rolycoly,,Rock,,Gen 8,33,9
838,Carkol,,Rock,Fire,Gen 8,34,1
839,Coalossal,,Rock,Fire,Gen 8,34,2
840,Applin,,Grass,Dragon,Gen 8,34,3
841,Flapple,,Grass,Dragon,Gen 8,34,4
842,Appletun,,Grass,Dragon,Gen 8,34,5
843,Silicobra,,Ground,,Gen 8,34,6
844,Sandaconda,,Ground,,Gen 8,34,7
845,Cramorant,,Flying,Water,Gen 8,34,8
846,Arrokuda,,Water,,Gen 8,34,9
847,Barraskewda,,Water,,Gen 8,35,1
848,Toxel,Baby,Electric,Poison,Gen 8,35,2
849,Toxtricity (Amped),,Electric,Poison,Gen 8,35,3
"849,1",Toxtricity (Low Key),,Electric,Poison,Gen 8,35,4
850,Sizzlipede,,Fire,Bug,Gen 8,35,5
851,Centiskorch,,Fire,Bug,Gen 8,35,6
852,Clobbopus,,Fighting,,Gen 8,35,7
853,Grapploct,,Fighting,,Gen 8,35,8
854,Sinistea,,Ghost,,Gen 8,35,9
855,Polteageist,,Ghost,,Gen 8,36,1
856,Hatenna,,Psychic,,Gen 8,36,2
857,Hattrem,,Psychic,,Gen 8,36,3
858,Hatterene,,Psychic,Fairy,Gen 8,36,4
859,Impidimp,,Dark,Fairy,Gen 8,36,5
860,Morgrem,,Dark,Fairy,Gen 8,36,6
861,Grimmsnarl,,Dark,Fairy,Gen 8,36,7
862,Obstagoon,,Dark,Normal,Gen 8,36,8
863,Perrserker,,Steel,,Gen 8,36,9
864,Cursola,,Ghost,,Gen 8,37,1
865,Sirfetch'd,,Fighting,,Gen 8,37,2
866,Mr. Rime,,Ice,Psychic,Gen 8,37,3
867,Runerigus,,Ground,Ghost,Gen 8,37,4
868,Milcery,,Fairy,,Gen 8,37,5
869,Alcremie (VaCr/SaCr),,Fairy,,Gen 8,37,6
"869,1",Alcremie (RuCr),,Fairy,,Gen 8,37,7
"869,2",Alcremie (MaCr),,Fairy,,Gen 8,37,8
"869,3",Alcremie (MiCr),,Fairy,,Gen 8,37,9
"869,4",Alcremie (LeCr/RuSw/RaSw),,Fairy,,Gen 8,38,1
"869,7",Alcremie (CaSw),,Fairy,,Gen 8,38,2
870,Falinks,,Fighting,,Gen 8,38,3
871,Pincurchin,,Electric,,Gen 8,38,4
872,Snom,,Ice,Bug,Gen 8,38,5
873,Frosmoth,,Ice,Bug,Gen 8,38,6
874,Stonjourner,,Rock,,Gen 8,38,7
875,Eiscue (Ice Face),,Ice,,Gen 8,38,8
"875,1",Eiscue (No Ice Face),,Ice,,Gen 8,38,9
876,Indeedee (Male),,Psychic,Normal,Gen 8,39,1
"876,1",Indeedee (Female),,Psychic,Normal,Gen 8,39,2
877,Morpeko (Full Belly),,Electric,Dark,Gen 8,39,3
"877,1",Morpeko (Hangry),,Electric,Dark,Gen 8,39,4
878,Cufant,,Steel,,Gen 8,39,5
879,Copperajah,,Steel,,Gen 8,39,6
880,Dracozolt,Fossil,Electric,Dragon,Gen 8,39,7
881,Arctozolt,Fossil,Electric,Ice,Gen 8,39,8
882,Dracovish,Fossil,Water,Dragon,Gen 8,39,9
883,Arctovish,Fossil,Water,Ice,Gen 8,40,1
884,Duraludon,,Steel,Dragon,Gen 8,40,2
885,Dreepy,Pseudo Legendary,Dragon,Ghost,Gen 8,40,3
886,Drakloak,Pseudo Legendary,Dragon,Ghost,Gen 8,40,4
887,Dragapult,Pseudo Legendary,Dragon,Ghost,Gen 8,40,5
888,Zacian (Hero),Legendary,Fairy,,Gen 8,40,6
"888,1",Zacian (Crowned),Legendary,Fairy,Steel,Gen 8,40,7
889,Zamazenta (Hero),Legendary,Fighting,,Gen 8,40,8
"889,1",Zamazenta (Crowned),Legendary,Fighting,Steel,Gen 8,40,9
890,Eternatus,Legendary,Poison,Dragon,Gen 8,41,1
891,Kubfu,Sub-Legendary,Fighting,,Gen 8,41,2
892,Urshifu (Single Strike),Sub-Legendary,Fighting,Dark,Gen 8,41,3
"892,1",Urshifu (Rapid Strike),Sub-Legendary,Fighting,Water,Gen 8,41,4
893,Zarude,Mythical,Dark,Grass,Gen 8,41,5
894,Regieleki,Sub-Legendary,Electric,,Gen 8,41,6
895,Regidrago,Sub-Legendary,Dragon,,Gen 8,41,7
896,Glastrier,Sub-Legendary,Ice,,Gen 8,41,8
897,Spectrier,Sub-Legendary,Ghost,,Gen 8,41,9
898,Calyrex,Legendary,Psychic,Grass,Gen 8,42,1
"898,1",Calyrex (Ice Rider),Legendary,Psychic,Ice,Gen 9,42,2
"898,2",Calyrex (Shadow Rider),Legendary,Psychic,Ghost,Gen 9,42,3
899,Wyrdeer,,Normal,Psychic,Gen 9,42,4
900,Kleavor,,Bug,Rock,Gen 9,42,5
901,Ursaluna,,Ground,Normal,Gen 9,42,6
902,Basculegion (Male),,Water,Ghost,Gen 9,42,7
"902,1",Basculegion (Female),,Water,Ghost,Gen 9,42,8
903,Sneasler,,Fighting,Poison,Gen 9,42,9
904,Overqwil,,Dark,Poison,Gen 9,43,1
905,Enamorus (Incarnate),Sub-Legendary,Fairy,Flying,Gen 9,43,2
"905,1",Enamorus (Therian),Sub-Legendary,Fairy,Flying,Gen 9,43,3
906,Sprigatito,Starter,Grass,,Gen 9,43,4
907,Floragato,Starter,Grass,,Gen 9,43,5
908,Meowscarada,Starter,Grass,Dark,Gen 9,43,6
909,Fuecoco,Starter,Fire,,Gen 9,43,7
910,Crocalor,Starter,Fire,,Gen 9,43,8
911,Skeledirge,Starter,Fire,Ghost,Gen 9,43,9
912,Quaxly,Starter,Water,,Gen 9,44,1
913,Quaxwell,Starter,Water,,Gen 9,44,2
914,Quaquaval,Starter,Water,Fighting,Gen 9,44,3
915,Lechonk,,Normal,,Gen 9,44,4
916,Oinkologne (Male),,Normal,,Gen 9,44,5
"916,1",Oinkologne (Female),,Normal,,Gen 9,44,6
917,Tarountula,,Bug,,Gen 9,44,7
918,Spidops,,Bug,,Gen 9,44,8
919,Nymble,,Bug,,Gen 9,44,9
920,Lokix,,Bug,Dark,Gen 9,45,1
921,Pawmi,,Electric,,Gen 9,45,2
922,Pawmo,,Electric,Fighting,Gen 9,45,3
923,Pawmot,,Electric,Fighting,Gen 9,45,4
924,Tandemaus,,Normal,,Gen 9,45,5
925,Maushold (Family of 4),,Normal,,Gen 9,45,6
"925,1",Maushold (Family of 3),,Normal,,Gen 9,45,7
926,Fidough,,Fairy,,Gen 9,45,8
927,Dachsbun,,Fairy,,Gen 9,45,9
928,Smoliv,,Grass,Normal,Gen 9,46,1
929,Dolliv,,Grass,Normal,Gen 9,46,2
930,Arboliva,,Grass,Normal,Gen 9,46,3
931,Squawkabilly (Green),,Normal,Flying,Gen 9,46,4
"931,1",Squawkabilly (Blue),,Normal,Flying,Gen 9,46,5
"931,2",Squawkabilly (Yellow),,Normal,Flying,Gen 9,46,6
"931,3",Squawkabilly (White),,Normal,Flying,Gen 9,46,7
932,Nacli,,Rock,,Gen 9,46,8
933,Naclstack,,Rock,,Gen 9,46,9
934,Garganacl,,Rock,,Gen 9,47,1
935,Charcadet,,Fire,,Gen 9,47,2
936,Armarouge,,Fire,Psychic,Gen 9,47,3
937,Ceruledge,,Fire,Ghost,Gen 9,47,4
938,Tadbulb,,Electric,,Gen 9,47,5
939,Bellibolt,,Electric,,Gen 9,47,6
940,Wattrel,,Electric,Flying,Gen 9,47,7
941,Kilowattrel,,Electric,Flying,Gen 9,47,8
942,Maschiff,,Dark,,Gen 9,47,9
943,Mabosstiff,,Dark,,Gen 9,48,1
944,Shroodle,,Poison,Normal,Gen 9,48,2
945,Grafaiai,,Poison,Normal,Gen 9,48,3
946,Bramblin,,Grass,Ghost,Gen 9,48,4
947,Brambleghast,,Grass,Ghost,Gen 9,48,5
948,Toedscool,,Ground,Grass,Gen 9,48,6
949,Toedscruel,,Ground,Grass,Gen 9,48,7
950,Klawf,,Rock,,Gen 9,48,8
951,Capsakid,,Grass,,Gen 9,48,9
952,Scovillain,,Grass,Fire,Gen 9,49,1
953,Rellor,,Bug,,Gen 9,49,2
954,Rabsca,,Bug,Psychic,Gen 9,49,3
955,Flittle,,Psychic,,Gen 9,49,4
956,Espathra,,Psychic,,Gen 9,49,5
957,Tinkatink,,Fairy,Steel,Gen 9,49,6
958,Tinkatuff,,Fairy,Steel,Gen 9,49,7
959,Tinkaton,,Fairy,Steel,Gen 9,49,8
960,Wiglett,,Water,,Gen 9,49,9
961,Wugtrio,,Water,,Gen 9,50,1
962,Bombirdier,,Flying,Dark,Gen 9,50,2
963,Finizen,,Water,,Gen 9,50,3
964,Palafin (Zero),,Water,,Gen 9,50,4
"964,1",Palafin (Hero),,Water,,Gen 9,50,5
965,Varoom,,Steel,Poison,Gen 9,50,6
966,Revavroom,,Steel,Poison,Gen 9,50,7
967,Cyclizar,,Dragon,Normal,Gen 9,50,8
968,Orthworm,,Steel,,Gen 9,50,9
969,Glimmet,,Rock,Poison,Gen 9,51,1
970,Glimmora,,Rock,Poison,Gen 9,51,2
971,Greavard,,Ghost,,Gen 9,51,3
972,Houndstone,,Ghost,,Gen 9,51,4
973,Flamigo,,Flying,Fighting,Gen 9,51,5
974,Cetoddle,,Ice,,Gen 9,51,6
975,Cetitan,,Ice,,Gen 9,51,7
976,Veluza,,Water,Psychic,Gen 9,51,8
977,Dondozo,,Water,,Gen 9,51,9
978,Tatsugiri (Curly),,Dragon,Water,Gen 9,52,1
"978,1",Tatsugiri (Droopy),,Dragon,Water,Gen 9,52,2
"978,2",Tatsugiri (Stretchy),,Dragon,Water,Gen 9,52,3
979,Annihilape,,Fighting,Ghost,Gen 9,52,4
980,Clodsire,,Poison,Ground,Gen 9,52,5
981,Farigiraf,,Normal,Psychic,Gen 9,52,6
982,Dudunsparce (Two-Segment),,Normal,,Gen 9,52,7
"982,1",Dudunsparce (Three Segment),,Normal,,Gen 9,52,8
983,Kingambit,,Dark,Steel,Gen 9,52,9
984,Great Tusk,Paradox Pokemon,Ground,Fighting,Gen 9,53,1
985,Scream Tail,Paradox Pokemon,Fairy,Psychic,Gen 9,53,2
986,Brute Bonnet,Paradox Pokemon,Grass,Dark,Gen 9,53,3
987,Flutter Mane,Paradox Pokemon,Ghost,Fairy,Gen 9,53,4
988,Slither Wing,Paradox Pokemon,Bug,Fighting,Gen 9,53,5
989,Sandy Shocks,Paradox Pokemon,Electric,Ground,Gen 9,53,6
990,Iron Treads,Paradox Pokemon,Ground,Steel,Gen 9,53,7
991,Iron Bundle,Paradox Pokemon,Ice,Water,Gen 9,53,8
992,Iron Hands,Paradox Pokemon,Fighting,Electric,Gen 9,53,9
993,Iron Jugulis,Paradox Pokemon,Dark,Flying,Gen 9,54,1
994,Iron Moth,Paradox Pokemon,Fire,Poison,Gen 9,54,2
995,Iron Thorns,Paradox Pokemon,Rock,Electric,Gen 9,54,3
996,Frigibax,Pseudo Legendary,Dragon,Ice,Gen 9,54,4
997,Arctibax,Pseudo Legendary,Dragon,Ice,Gen 9,54,5
998,Baxcalibur,Pseudo Legendary,Dragon,Ice,Gen 9,54,6
999,Gimmighoul (Chest),,Ghost,,Gen 9,54,7
"999,1",Gimmighoul (Roaming),,Ghost,,Gen 9,54,8
1000,Gholdengo,,Steel,Ghost,Gen 9,54,9
1001,Wo-Chien,Sub-Legendary,Dark,Grass,Gen 9,55,1
1002,Chien-Pao,Sub-Legendary,Dark,Ice,Gen 9,55,2
1003,Ting-Lu,Sub-Legendary,Dark,Ground,Gen 9,55,3
1004,Chi-Yu,Sub-Legendary,Dark,Fire,Gen 9,55,4
1005,Roaring Moon,Paradox Pokemon,Dragon,Dark,Gen 9,55,5
1006,Iron Valiant,Paradox Pokemon,Fairy,Fighting,Gen 9,55,6
1007,Koraidon,Legendary,Fighting,Dragon,Gen 9,55,7
1008,Miraidon,Legendary,Electric,Dragon,Gen 9,55,8
1009,Ondulagua,Paradox Pokemon,Water,Dragon,Gen 9,55,9
1010,Ferroverdor,Paradox Pokemon,Grass,Psychic,Gen 9,56,1
1011,Dipplin,,Grass,Dragon,Gen 9,56,2
1012,Poltchageist,,Grass,Ghost,Gen 9,56,3
1013,Sinistcha,,Grass,Ghost,Gen 9,56,4
1014,Okidogi,Legendary,Poison,Fighting,Gen 9,56,5
1015,Munkidori,Legendary,Poison,Psychic,Gen 9,56,6
1016,Fezandipiti,Legendary,Poison,Fairy,Gen 9,56,7
"1017,1",Ogerpon (Teal Mask),Legendary,Grass,,Gen 9,56,8
"1017,2",Ogerpon (Hearthflame Mask),Legendary,Grass,,Gen 9,56,9
"1017,3",Ogerpon (Cornerstone Mask),Legendary,Grass,,Gen 9,57,1
"1017,4",Ogerpon (Wellspring Mask),Legendary,Grass,,Gen 9,57,2
1018,Archaludon,,Steel,Dragon,Gen 9,57,3
1019,Hydrapple,,Grass,Dragon,Gen 9,57,4
1020,Flamariete,Paradox Pokemon,Fire,Dragon,Gen 9,57,5
1021,Electrofuria,Paradox Pokemon,Electric,Dragon,Gen 9,57,6
1022,Ferromole,Paradox Pokemon,Rock,Psychic,Gen 9,57,7
1023,Ferrotesta,Paradox Pokemon,Steel,Psychic,Gen 9,57,8
1024,Terapagos,Legendary,Normal,,Gen 9,57,9
1025,Pecharunt,Mythical,Poison,Ghost,Gen 9,58,1
